"Round",1,2,3,4,5
10,0.23375438332286513,0.15734409922710924,0.08872561457350928,0.05453166431160771,0.03559109010347869
20,0.15842090811030002,0.10340918367064672,0.055801334684898805,0.032460361607965345,0.023871183879066105
30,0.27923374171783083,0.2081357504527495,0.13730920341471137,0.09544652872796117,0.06367882230896534
40,0.35754327140290715,0.28833462942048127,0.20726487430941992,0.15091678969797262,0.10631256751644019
50,0.30293297899942095,0.1933278698440111,0.11253348508095488,0.07253896880651252,0.04656150109600164
60,0.1985289279400623,0.13218549940476199,0.0754339362133446,0.04726766295128508,0.03195254894951731
70,0.19110501093206117,0.13718648227386612,0.07957723788387422,0.05046100696636251,0.03452160077608175
80,0.1672479513377544,0.13742040137536662,0.08896428422848263,0.06074475758103702,0.041774668950972246
90,0.11789313202494271,0.0890998463604882,0.05081214595113884,0.030480742278984767,0.02328291267168954
100,0.10392137335025992,0.07979416041793741,0.04622984780925301,0.028263617125079764,0.022205183371832995
110,0.09841016703825384,0.07898563268755077,0.046135925265810354,0.02834603802628334,0.022326436370988616
120,0.09557822578054859,0.0768255653021567,0.04509792372397037,0.028013303018037884,0.02238302609638032
130,0.09101456940581479,0.07466381944470693,0.04443507313811614,0.0274926232587319,0.02206268429062675
140,0.0843963778973644,0.0703977494638155,0.04225023981228546,0.026270035231717153,0.021658247925146448
150,0.10330941142753178,0.07753856214354914,0.044556045383390086,0.027467135300140038,0.02220174719688447
160,0.12679131066839586,0.08371373709750159,0.04520139358818976,0.02669993905782106,0.021658489508957646
170,0.10933410411799659,0.07617289421392312,0.041815843167338225,0.025299149459299636,0.021233316206442875
180,0.08653523029099795,0.07307859205490516,0.04083247394325917,0.025072944197812707,0.021279492806634458
190,0.064260975318862,0.06644338015336207,0.0394819165251303,0.02470385724308959,0.02119026599995923
200,0.06150157869495478,0.06381382296696139,0.03917876452678751,0.024789038492508873,0.021224149326686804
210,0.05900928101983651,0.06286975265048213,0.039310682039506405,0.024892817704864432,0.021249803749082995
